Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0.03183629847877988,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0.0437991773743633,1916
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0.0,1888
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0.7595570175653615,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0.718485054980611,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0.3895181413955221,1982
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0.0003372863158823615,1969
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0.4279619180217765,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0.0015574980022649168,1955
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0.533908550306156,1999
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,0.0005730925919570941,1940
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,0.7637574087782686,2008
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0.5316289262235209,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0.4481363460322285,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0.5067349409994069,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0.5369857976968444,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0.7733274177496925,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0.17194787749839446,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0.43986988984268144,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0.8090184870159476,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0.8090184870159476,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0.37375049636975993,1985
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,0.4985385893784225,1994
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,0.856447414219952,2019 (1860)
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0.4907859065305102,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0.001521710355376236,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,0.0015501443761919002,1850
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,0.0017021193150342435,1919
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,0.5155906677582717,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0.6906702094802948,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0.40112902672307715,1894
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0.5079237772145445,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0.155089934846873,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0.4012692358602027,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,0.0021967732288791604,1965
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,0.15368735323387964,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0.9019791058971179,1954
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,0.9103205690726098,1990
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0.15608953775106507,1977
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,0.0025252351934739025,1967
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,0.7449380089322045,1994
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,0.46361376794897563,1995
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,0.0025904373446546496,1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0.7818041876449278,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,0.1727562861246881,1927
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,0.6203705247057325,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,0.3583260205607385,1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,0.3578774493702845,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,0.3763080875179551,1982
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,0.003367960741441605,1949
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,0.42405273040136093,1979
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,0.4481358557904903,1978
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,0.003440516518695369,1935
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,0.5232756972463122,1993
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,0.8333153578029326,2017
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,0.0037204445512082013,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,0.033855113956692044,1998 (1923 / 1874)
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0.004243532485868782,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0.004409724435118958,1897
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,0.5226874071604709,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,0.37389658840774387,1966
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,0.41191238399654867,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,0.42810114667542565,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,0.9856717047175964,1988
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,0.6824253239272285,1985
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,2025-07-23,0.7406930057211212,2009
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,0.680934498801359,1784
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,0.005454919820963718,1916
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,0.5263877518004129,1996
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,0.43333692843941346,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,0.0061142949588442064,1989 (1887)
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,0.847318132571171,1961
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,0.6772748442256877,1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,0.03798491035929817,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0.006320686730626872,1870
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023-12-18,0.6446850441952927,1998
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,0.9780626626989769,1818
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,0.5077629779244146,1970
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0.5105754947764743,1905
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,0.3980135404768091,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,0.7790406949666882,1973
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,0.4434457130811203,1981
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,0.00732028963481893,1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,0.45387952799525444,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,0.35276373779910875,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,0.5727053009839153,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,0.3987121349537457,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,0.873306827596688,"2020 (1915, United Technologies spinoff)"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,0.008054671758644187,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0.6728616880984014,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,0.5570705114692055,1906
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,0.6864644256082675,1984
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,0.5584142640736147,1985
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,0.5245287551291542,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,0.5532427039773313,1882
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0.648395683911737,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,0.5387178217579088,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,0.1543815355351724,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0.5342982924880258,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,0.044911045636603406,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,0.5178374456444473,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0.4384521107358038,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,0.15301768301949692,1847
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,0.8521087748368721,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,0.009062608772385664,1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,0.3536868629921414,1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,0.42017491825219017,1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,0.4065089395580961,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,0.37167383236674,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0.009449899745564538,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0.5660208548835431,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,0.39678009226349514,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,0.009581284531402435,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0.5179354939920876,1994
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",2025-05-19,0.8226197538005992,2012
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,0.00973865212936499,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0.5710781886548257,1963
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,0.010499507307053109,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0.5693495962859286,2002
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,0.5128232531461264,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,0.007411474598124335,1945
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,0.9150239483089112,1999
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,0.3478774983944583,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0.44037189738259935,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,0.011246635716071594,1851
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,0.575374177006682,2000
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,0.8598212578622519,2019
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,0.517475647241655,1987
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,0.44515518602222753,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0.4199753898647423,2021 (1989)
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,0.7518969904059692,2011
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,0.514592045337556,1994
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,0.1353792755207593,1980
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,0.011948171643437379,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0.030886700231884345,1996
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,0.15286521783891638,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,0.46040758698114037,1938
DDOG,Datadog,Information Technology,Application Software,"New York City, New York",2025-07-09,0.7646545511591767,2010
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,0.4536040121383854,1979
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,0.8448125070472251,1992
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,0.4454929625798481,1973
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0.1536363680931067,1837
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,0.7697756163564254,2016
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,0.012797270334001696,1929
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0.5334869424113031,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,0.535224849373226,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0.7540104225393542,2007
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,0.6354493800893221,2004
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,0.013596364367269501,1939
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,0.4578382300312284,1986
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,0.35010956902848794,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,0.6299022948215766,1960
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2025-03-24,0.8780175604590624,2012
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,0.013778244052142112,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,0.8579171589510789,2019 (1897)
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,0.43160098244444334,1978
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,0.4581505140184625,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,0.649256548404018,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,0.8162034699310231,2017 (1802)
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,0.4478794593614111,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,0.7595717248175076,1911
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,0.5212681573283787,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,0.014541550438521235,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,0.4045729749339399,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,0.5382854285448155,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,0.34842215696559975,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,0.5658561336595076,2014 (1946)
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,0.015101406503546898,1890
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,0.7163907422750159,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,0.03146567572469985,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,0.4016986876228668,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,0.6619292973365167,1993
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,0.015399963722111372,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,0.015386236953441742,1899
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,0.5389908864060869,1998
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,0.4433290355474284,1969
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,0.4514248876120815,1925
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,0.4503958702035974,1971
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,0.4899721052450964,1946
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,0.5359680558483388,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,0.8380530539609082,1909
